index;Sku;Style Id;Catalog;Category;Weight;TP 1;TP 2;MRP Old;Final MRP Old;Ajio MRP;Amazon MRP;Amazon FBA MRP;Flipkart MRP;Limeroad MRP;Myntra MRP;Paytm MRP;Snapdeal MRP;Custom_Size
102;Os220_3154_S;Os220_3154;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;S
103;Os220_3154_M;Os220_3154;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;M
104;Os220_3154_L;Os220_3154;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;L
105;Os220_3154_XL;Os220_3154;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;XL
106;Os220_3154_2XL;Os220_3154;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;2XL
107;Os220_3154_3XL;Os220_3154;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;3XL
108;Os174_3155_S;Os174_3155;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;S
109;Os174_3155_M;Os174_3155;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;M
110;Os174_3155_L;Os174_3155;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;L
111;Os174_3155_XL;Os174_3155;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;XL
112;Os174_3155_2XL;Os174_3155;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;2XL
113;Os174_3155_3XL;Os174_3155;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;3XL
114;Os222_3156_S;Os222_3156;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;S
115;Os222_3156_M;Os222_3156;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;M
116;Os222_3156_L;Os222_3156;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;L
117;Os222_3156_XL;Os222_3156;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;XL
118;Os222_3156_2XL;Os222_3156;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;2XL
119;Os222_3156_3XL;Os222_3156;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;3XL
120;Os228_1432_S;Os228_1432;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;S
121;Os228_1432_M;Os228_1432;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;M
122;Os228_1432_L;Os228_1432;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;L
123;Os228_1432_XL;Os228_1432;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;XL
124;Os228_1432_2XL;Os228_1432;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;2XL
