SKU,Style,Category,Size,Color
Os120_14412_XL,Os120_14412,Kurta,XL,
Os120_14412_2XL,Os120_14412,Kurta,2XL,
Os120_14412_3XL,Os120_14412,Kurta,3XL,
Os126_14249_S,Os126_14249,Kurta,S,
Os126_14249_M,Os126_14249,Kurta,M,
Os126_14249_L,Os126_14249,Kurta,L,
Os126_14249_XL,Os126_14249,Kurta,XL,
Os126_14249_2XL,Os126_14249,Kurta,2XL,
Os126_14249_3XL,Os126_14249,Kurta,3XL,
Os132_1866_S,Os132_1866,Kurta,S,
Os132_1866_M,Os132_1866,Kurta,M,
Os132_1866_L,Os132_1866,Kurta,L,
Os132_1866_XL,Os132_1866,Kurta,XL,
Os132_1866_2XL,Os132_1866,Kurta,2XL,
Os132_1866_3XL,Os132_1866,Kurta,3XL,
Os116_14254_S,Os116_14254,Kurta,S,
Os116_14254_M,Os116_14254,Kurta,M,
Os116_14254_L,Os116_14254,Kurta,L,
Os116_14254_XL,Os116_14254,Kurta,XL,
Os116_14254_2XL,Os116_14254,Kurta,2XL,
Os116_14254_3XL,Os116_14254,Kurta,3XL,
Os113_3090_S,Os113_3090,Kurta,S,
Os113_3090_M,Os113_3090,Kurta,M,
Os113_3090_L,Os113_3090,Kurta,L,
Os113_3090_XL,Os113_3090,Kurta,XL,
Os113_3090_2XL,Os113_3090,Kurta,2XL,
Os113_3090_3XL,Os113_3090,Kurta,3XL,
Os111_3074_S,Os111_3074,Kurta,S,
Os111_3074_M,Os111_3074,Kurta,M,
Os111_3074_L,Os111_3074,Kurta,L,
Os111_3074_XL,Os111_3074,Kurta,XL,
Os111_3074_2XL,Os111_3074,Kurta,2XL,
Os111_3074_3XL,Os111_3074,Kurta,3XL,
Os123_1332_S,Os123_1332,Kurta,S,
Os123_1332_M,Os123_1332,Kurta,M,
Os123_1332_L,Os123_1332,Kurta,L,
Os123_1332_XL,Os123_1332,Kurta,XL,
Os123_1332_2XL,Os123_1332,Kurta,2XL,
Os123_1332_3XL,Os123_1332,Kurta,3XL,
Os141_1331_S,Os141_1331,Kurta,S,
Os141_1331_M,Os141_1331,Kurta,M,
Os141_1331_L,Os141_1331,Kurta,L,
Os141_1331_XL,Os141_1331,Kurta,XL,
Os141_1331_2XL,Os141_1331,Kurta,2XL,
Os141_1331_3XL,Os141_1331,Kurta,3XL,
Os102_14255_S,Os102_14255,Kurta,S,
Os102_14255_M,Os102_14255,Kurta,M,
Os102_14255_L,Os102_14255,Kurta,L,
Os102_14255_XL,Os102_14255,Kurta,XL,
Os102_14255_2XL,Os102_14255,Kurta,2XL,
Os102_14255_3XL,Os102_14255,Kurta,3XL,
Os104_1276_S,Os104_1276,Kurta,S,
Os104_1276_M,Os104_1276,Kurta,M,
Os104_1276_L,Os104_1276,Kurta,L,
Os104_1276_XL,Os104_1276,Kurta,XL,
Os104_1276_2XL,Os104_1276,Kurta,2XL,
Os104_1276_3XL,Os104_1276,Kurta,3XL,
Os106_14213_S,Os106_14213,Kurta,S,
Os106_14213_M,Os106_14213,Kurta,M,
Os106_14213_L,Os106_14213,Kurta,L,
Os106_14213_XL,Os106_14213,Kurta,XL,
Os106_14213_2XL,Os106_14213,Kurta,2XL,
Os106_14213_3XL,Os106_14213,Kurta,3XL,
Os105_3062_S,Os105_3062,Kurta,S,
Os105_3062_M,Os105_3062,Kurta,M,
Os105_3062_L,Os105_3062,Kurta,L,
Os105_3062_XL,Os105_3062,Kurta,XL,
Os105_3062_2XL,Os105_3062,Kurta,2XL,
Os105_3062_3XL,Os105_3062,Kurta,3XL,
Os109_3095_S,Os109_3095,Kurta,S,
Os109_3095_M,Os109_3095,Kurta,M,
Os109_3095_L,Os109_3095,Kurta,L,
Os109_3095_XL,Os109_3095,Kurta,XL,
Os109_3095_2XL,Os109_3095,Kurta,2XL,
Os109_3095_3XL,Os109_3095,Kurta,3XL,
Os173_3090_S,Os173_3090,Kurta,S,
Os173_3090_M,Os173_3090,Kurta,M,
Os173_3090_L,Os173_3090,Kurta,L,
Os173_3090_XL,Os173_3090,Kurta,XL,
Os173_3090_2XL,Os173_3090,Kurta,2XL,
Os173_3090_3XL,Os173_3090,Kurta,3XL,
Os187_5073_S,Os187_5073,Kurta,S,
Os187_5073_M,Os187_5073,Kurta,M,
Os187_5073_L,Os187_5073,Kurta,L,
Os187_5073_XL,Os187_5073,Kurta,XL,
Os187_5073_2XL,Os187_5073,Kurta,2XL,
Os187_5073_3XL,Os187_5073,Kurta,3XL,
Os215_5072_S,Os215_5072,Kurta,S,
Os215_5072_M,Os215_5072,Kurta,M,
Os215_5072_L,Os215_5072,Kurta,L,
Os215_5072_XL,Os215_5072,Kurta,XL,
Os215_5072_2XL,Os215_5072,Kurta,2XL,
Os215_5072_3XL,Os215_5072,Kurta,3XL,
Os103_4171_S,Os103_4171,Kurta,S,
Os103_4171_XS,Os103_4171,Kurta,XS,
Os103_4171_M,Os103_4171,Kurta,M,
Os103_4171_L,Os103_4171,Kurta,L,
Os103_4171_XL,Os103_4171,Kurta,XL,
Os103_4171_2XL,Os103_4171,Kurta,2XL,
Os103_4171_3XL,Os103_4171,Kurta,3XL,
Os216_3095_M,Os216_3095,Kurta,M,
Os216_3095_S,Os216_3095,Kurta,S,
Os216_3095_L,Os216_3095,Kurta,L,
Os216_3095_XL,Os216_3095,Kurta,XL,
Os216_3095_2XL,Os216_3095,Kurta,2XL,
Os216_3095_3XL,Os216_3095,Kurta,3XL,
Os217_5071_S,Os217_5071,Kurta,S,
Os217_5071_M,Os217_5071,Kurta,M,
Os217_5071_L,Os217_5071,Kurta,L,
Os217_5071_XL,Os217_5071,Kurta,XL,
Os217_5071_2XL,Os217_5071,Kurta,2XL,
Os217_5071_3XL,Os217_5071,Kurta,3XL,
Os152_S,Os152,Kurta,S,
Os152_M,Os152,Kurta,M,
Os152_L,Os152,Kurta,L,
Os152_XL,Os152,Kurta,XL,
Os152_2XL,Os152,Kurta,2XL,
Os152_3XL,Os152,Kurta,3XL,
Os149_S,Os149,Kurta,S,
Os149_M,Os149,Kurta,M,
Os149_L,Os149,Kurta,L,
Os149_XL,Os149,Kurta,XL,
Os149_2XL,Os149,Kurta,2XL,
